"file","source","bytes","canvas_w","canvas_h","frame_count","frame","x_signed","y_signed","x_raw","y_raw","w","h","format","extra_9_11","rgb_12_15","unk_16_19","data_offset"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","31","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","122648"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","32","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","126168"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","33","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","129688"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","34","102","119","0x0066","0x0077","127","63","3","000000","0x00000000","0x00000000","133208"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","35","93","119","0x005D","0x0077","127","67","3","000000","0x00000000","0x00000000","135456"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","0","15","4","0x000F","0x0004","150","93","3","000000","0x00090000","0x00000000","872"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","1","15","4","0x000F","0x0004","150","93","3","000000","0x00090000","0x00000000","5560"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","2","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","10248"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","3","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","14936"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","4","15","7","0x000F","0x0007","150","90","3","000000","0x00080000","0x00000000","19624"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","5","15","4","0x000F","0x0004","150","93","3","000000","0x00080000","0x00000000","24264"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","6","15","9","0x000F","0x0009","150","86","3","000000","0x00080000","0x00000000","29032"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","7","24","15","0x0018","0x000F","141","82","3","000000","0x00080000","0x00000000","33576"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","8","15","9","0x000F","0x0009","145","85","3","000000","0x00070000","0x00000000","36824"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","9","15","19","0x000F","0x0013","150","93","3","000000","0x00090000","0x00000000","42728"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","10","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","47424"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","11","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","52120"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","12","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","56816"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","13","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","61512"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","14","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","66208"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","15","15","19","0x000F","0x0013","150","93","3","000000","0x00080000","0x00000000","70856"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","16","31","19","0x001F","0x0013","134","87","3","000000","0x00090000","0x00000000","75488"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","17","15","20","0x000F","0x0014","139","92","3","000000","0x00080000","0x00000000","79648"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","18","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","82616"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","19","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","86656"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","20","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","90696"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","21","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","94736"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","22","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","98776"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","23","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","102816"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","24","30","61","0x001E","0x003D","150","74","3","000000","0x00000000","0x00000000","106856"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","25","39","67","0x0027","0x0043","141","68","3","000000","0x00000000","0x00000000","110896"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","26","34","65","0x0022","0x0041","132","62","3","000000","0x00000000","0x00000000","113816"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","27","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","116592"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","28","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","120632"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","29","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","124672"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","30","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","128712"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","31","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","132752"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","32","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","136792"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","33","30","76","0x001E","0x004C","150","74","3","000000","0x00000000","0x00000000","140832"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","34","45","76","0x002D","0x004C","135","69","3","000000","0x00000000","0x00000000","144872"
"railbrdg.tem","nested:temperat.mix","149848","180","180","36","35","30","76","0x001E","0x004C","137","74","3","000000","0x00000000","0x00000000","147272"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","0","15","4","0x000F","0x0004","150","93","3","000000","0x00190000","0x00000000","872"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","1","15","4","0x000F","0x0004","150","93","3","000000","0x00190000","0x00000000","5560"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","2","15","4","0x000F","0x0004","150","93","3","000000","0x001A0000","0x00000000","10248"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","3","15","4","0x000F","0x0004","150","93","3","000000","0x00190000","0x00000000","14936"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","4","15","7","0x000F","0x0007","150","90","3","000000","0x001B0000","0x00000000","19624"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","5","15","4","0x000F","0x0004","150","93","3","000000","0x001A0000","0x00000000","24264"
"railbrdg.sno","nested:snow.mix","149832","180","180","36","6","15","9","0x000F","0x0009","150","86","3","000000","0x001C0000","0x00000000","29032"
